Month;"Avg. Players";Gain;"% Gain";Peak Players;Game;Hours Played;Incremento;
09-21;513627.8;1545.8;0.3;942519;Counter-Strike: Global Offensive;371.286.310;si;
08-21;512082;6014.6;1.19;802544;Counter-Strike: Global Offensive;371.284.823;si;
07-21;506067.4;-432.797;-7.88;763523;Counter-Strike: Global Offensive;371.283.370;no;
06-21;549347.1;-110541.8;-16.75;929940;Counter-Strike: Global Offensive;371.281.937;no;
05-21;659888.9;-63457.6;-8.77;1087197;Counter-Strike: Global Offensive;371.280.557;no;
04-21;723346.5;-17581.3;-2.37;1148077;Counter-Strike: Global Offensive;371.279.176;no;
03-21;740927.8;-85.4;-0.01;1198581;Counter-Strike: Global Offensive;371.277.965;si;
02-21;741013.2;-2196.4;-0.3;1123485;Counter-Strike: Global Offensive;371.276.700;no;
01-21;743209.7;25405.9;3.54;1124553;Counter-Strike: Global Offensive;371.275.227;no;
12-20;717803.8;49049.2;7.33;1164396;Counter-Strike: Global Offensive;371.273.941;si;
11-20;668754.6;55087.9;8.98;1037464;Counter-Strike: Global Offensive;371.272.700;si;
10-20;613666.7;6816.4;1.12;943876;Counter-Strike: Global Offensive;371.271.346;no;
09-20;606850.3;-33107.3;-5.17;977769;Counter-Strike: Global Offensive;371.270.064;si;
08-20;639957.7;14056.9;2.25;925348;Counter-Strike: Global Offensive;371.268.807;si;
07-20;625900.8;-45746.7;-6.81;857560;Counter-Strike: Global Offensive;371.267.474;no;
06-20;671647.5;-97147.8;-12.64;1009467;Counter-Strike: Global Offensive;371.266.023;no;
05-20;768795.3;-88809;-10.36;1193359;Counter-Strike: Global Offensive;371.264.619;no;
04-20;857604.2;186570.9;27.8;1305714;Counter-Strike: Global Offensive;371.263.344;si;
03-20;671033.3;127054.1;23.36;1145972;Counter-Strike: Global Offensive;371.262.097;si;
02-20;543979.2;42783.2;8.54;916996;Counter-Strike: Global Offensive;371.260.886;si;
01-20;501196;44494.4;9.74;817229;Counter-Strike: Global Offensive;371.259.553;si;
